season,week,game_id,home_team,away_team,point_diff,off_yards_gained_h,off_yards_gained_a,off_pass_yards_h,off_pass_yards_a,off_rush_yards_h,off_rush_yards_a,off_turnovers_h,off_turnovers_a,off_touchdowns_h,off_touchdowns_a,off_epa_per_play_h,off_epa_per_play_a,def_epa_per_play_h,def_epa_per_play_a,off_wpa_h,off_wpa_a,def_wpa_h,def_wpa_a,off_cpoe_h,off_cpoe_a,off_success_rate_h,off_success_rate_a,off_qb_epa_h,off_qb_epa_a,def_sacks_h,def_sacks_a,def_qb_hits_h,def_qb_hits_a,off_red_zone_td_rate_h,off_red_zone_td_rate_a,off_third_down_conv_rate_h,off_third_down_conv_rate_a,off_fourth_down_conv_rate_h,off_fourth_down_conv_rate_a,off_first_downs_h,off_first_downs_a,off_pass_rate_h,off_pass_rate_a,off_shotgun_rate_h,off_shotgun_rate_a,off_no_huddle_rate_h,off_no_huddle_rate_a,timeouts_remaining_h,timeouts_remaining_a,score_differential_pre,total_plays,first_half_plays,second_half_plays,overtime_plays,roof,surface,home_win,away_wins,tie_flag,home_team_wins_10season,away_team_wins_10season,ties_10season,home_win_streak_last_3,home_losing_streak_last_3,home_points_scored_last_3,home_points_allowed_last_3,home_wins_to_date,home_losses_to_date,home_ties_to_date,away_win_streak_last_3,away_losing_streak_last_3,away_points_scored_last_3,away_points_allowed_last_3,away_wins_to_date,away_losses_to_date,away_ties_to_date,same_conference,same_division,special_game,gameday,gametime,spread_line,total_line,outdoor_game
2024,1,2024_01_ARI_BUF,BUF,ARI,6.0,352.0,272.0,255.0,193.0,98.0,80.0,202.0,187.0,4.0,3.0,0.191,0.141,0.141,0.191,0.518,0.089,0.089,0.518,9.892,1.197,0.612,0.447,15.309,10.728,4.0,2.0,5.0,3.0,0.001,0.001,0.038,0.095,0.025,0.0,23.0,18.0,0.395,0.5,0.494,0.671,0.074,0.053,2.0,2.0,-1.535,163,77,86,0,outdoors,a_turf,1,0,0,1,1,0,3.0,0.0,24.0,19.0,0.0,0.0,0.0,1.0,2.0,23.667,26.333,0.0,0.0,0.0,False,False,False,2024-09-08,13:00,6.5,46.0,True
2024,1,2024_01_BAL_KC,KC,BAL,7.0,353.0,452.0,285.0,342.0,69.0,110.0,201.0,187.0,3.0,2.0,0.124,0.021,0.021,0.124,0.344,-0.149,-0.149,0.344,4.191,-3.687,0.471,0.558,8.693,1.976,1.0,2.0,1.0,6.0,0.0,0.0,0.059,0.075,0.0,0.011,20.0,25.0,0.471,0.604,0.614,0.688,0.014,0.083,2.0,0.0,-1.934,178,89,89,0,outdoors,grass,1,0,0,4,1,0,2.0,1.0,17.333,16.333,0.0,0.0,0.0,2.0,1.0,33.0,18.333,0.0,0.0,0.0,True,False,False,2024-09-05,20:20,3.0,46.0,True
2024,1,2024_01_CAR_NO,NO,CAR,37.0,379.0,193.0,207.0,147.0,172.0,46.0,201.0,188.0,5.0,1.0,0.197,-0.375,-0.375,0.197,0.266,-0.188,-0.188,0.266,10.192,-17.186,0.494,0.385,15.933,-29.236,4.0,1.0,5.0,1.0,0.001,0.0,0.088,0.013,0.0,0.013,22.0,11.0,0.346,0.532,0.346,0.633,0.012,0.025,1.0,2.0,-3.144,168,86,82,0,dome,sportturf,1,0,0,12,8,0,2.0,1.0,31.0,20.0,0.0,0.0,0.0,0.0,3.0,10.0,22.667,0.0,0.0,0.0,True,True,False,2024-09-08,13:00,3.5,41.5,False
2024,1,2024_01_DAL_CLE,CLE,DAL,-16.0,230.0,265.0,176.0,163.0,54.0,103.0,201.0,186.0,3.0,2.0,-0.244,-0.038,-0.038,-0.244,-0.334,0.233,0.233,-0.334,-7.963,-6.607,0.296,0.417,-23.94,-3.175,3.0,6.0,4.0,17.0,0.001,0.0,0.021,0.048,0.031,0.0,15.0,15.0,0.612,0.424,0.643,0.447,0.235,0.012,1.0,3.0,-4.131,191,97,94,0,outdoors,grass,0,1,0,1,1,0,2.0,1.0,29.0,24.333,0.0,0.0,0.0,2.0,1.0,26.0,17.0,0.0,0.0,0.0,False,False,False,2024-09-08,16:25,2.5,42.0,True
2024,1,2024_01_DEN_SEA,SEA,DEN,6.0,304.0,231.0,192.0,167.0,116.0,64.0,201.0,188.0,3.0,1.0,-0.048,-0.133,-0.133,-0.048,-0.064,-0.498,-0.498,-0.064,5.265,-5.09,0.471,0.376,-4.047,-9.788,2.0,2.0,8.0,7.0,0.0,0.0,0.048,0.054,0.0,0.011,19.0,13.0,0.407,0.527,0.535,0.516,0.151,0.108,2.0,0.0,-0.385,191,101,90,0,outdoors,fieldturf,1,0,0,2,1,0,2.0,1.0,21.333,22.333,0.0,0.0,0.0,1.0,2.0,17.667,20.667,0.0,0.0,0.0,False,False,False,2024-09-08,16:05,6.5,42.0,True
2024,1,2024_01_GB_PHI,PHI,GB,5.0,410.0,414.0,288.0,251.0,122.0,163.0,202.0,186.0,4.0,3.0,0.104,0.092,0.092,0.104,0.426,-0.007,-0.007,0.426,1.243,-12.178,0.526,0.471,9.841,7.786,2.0,2.0,5.0,5.0,0.001,0.0,0.043,0.036,0.011,0.012,25.0,19.0,0.421,0.488,0.726,0.558,0.221,0.058,0.0,0.0,-1.635,196,98,98,0,outdoors,,1,0,0,2,3,0,1.0,2.0,24.667,29.0,0.0,0.0,0.0,3.0,0.0,27.667,16.333,0.0,0.0,0.0,True,False,False,2024-09-06,20:15,2.0,49.5,True
2024,1,2024_01_HOU_IND,IND,HOU,-2.0,303.0,417.0,231.0,219.0,72.0,200.0,201.0,186.0,4.0,3.0,0.095,0.128,0.128,0.095,0.225,0.728,0.728,0.225,-14.213,9.766,0.542,0.51,5.586,12.252,4.0,2.0,9.0,2.0,0.001,0.001,0.085,0.074,0.017,0.021,14.0,25.0,0.424,0.412,0.746,0.464,0.102,0.082,0.0,1.0,-0.378,166,78,88,0,closed,fieldturf,0,1,0,12,7,1,1.0,2.0,17.333,24.0,0.0,0.0,0.0,2.0,1.0,23.667,19.333,0.0,0.0,0.0,True,True,False,2024-09-08,13:00,-3.0,49.0,False
2024,1,2024_01_JAX_MIA,MIA,JAX,3.0,400.0,267.0,330.0,147.0,70.0,120.0,201.0,187.0,2.0,2.0,-0.006,-0.042,-0.042,-0.006,0.265,-0.189,-0.189,0.265,-7.655,-0.241,0.435,0.431,-0.534,-3.006,3.0,3.0,4.0,4.0,0.0,0.001,0.094,0.029,0.0,0.0,18.0,16.0,0.523,0.375,0.674,0.417,0.0,0.028,0.0,0.0,-0.677,172,88,84,0,outdoors,grass,1,0,0,2,3,0,1.0,2.0,18.333,32.333,0.0,0.0,0.0,1.0,2.0,19.333,19.333,0.0,0.0,0.0,True,False,False,2024-09-08,13:00,3.5,49.5,True
2024,1,2024_01_LA_DET,DET,LA,6.0,363.0,387.0,207.0,304.0,156.0,83.0,201.0,186.0,3.0,2.0,0.093,0.053,0.053,0.093,0.505,0.072,0.072,0.505,-7.55,0.365,0.551,0.495,7.281,4.918,2.0,2.0,11.0,5.0,0.001,0.001,0.078,0.054,0.013,0.011,20.0,26.0,0.392,0.57,0.43,0.753,0.0,0.097,2.0,1.0,-1.82,181,79,91,11,dome,fieldturf,1,0,0,1,3,0,2.0,1.0,26.333,21.333,0.0,0.0,0.0,3.0,0.0,25.667,22.333,0.0,0.0,0.0,True,False,False,2024-09-08,20:20,5.0,54.0,False
2024,1,2024_01_LV_LAC,LAC,LV,12.0,316.0,296.0,148.0,230.0,170.0,66.0,201.0,188.0,2.0,1.0,-0.125,-0.312,-0.312,-0.125,-0.193,-0.644,-0.644,-0.193,-0.625,1.044,0.364,0.392,-9.606,-23.125,4.0,1.0,5.0,5.0,0.001,0.0,0.053,0.068,0.0,0.0,11.0,14.0,0.372,0.554,0.59,0.676,0.077,0.095,2.0,0.0,-0.671,158,76,82,0,dome,matrixturf,1,0,0,10,10,0,0.0,3.0,14.333,17.667,0.0,0.0,0.0,2.0,1.0,22.333,17.0,0.0,0.0,0.0,True,True,False,2024-09-08,16:05,3.0,41.0,False
